researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason,openalex_work_id,openalex_match_method,openalex_match_confidence,openalex_candidate_count,openalex_requires_review,openalex_review_reason,cited_by_count,fwci,citation_percentile,openalex_retrieved_at
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-eb666fef6cee9276,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4408145448,exact_doi,high,1,false,,7,4.9969,0.94651791,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-6573e9a888a7676d,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4406824805,exact_doi,high,1,false,,4,4.5236,0.9369495,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-9b1ab93aa59b2cb1,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4402742378,exact_doi,high,1,false,,4,0.9141,0.72166629,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-a54076ac8e321a0e,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4394832284,exact_doi,high,1,false,,12,4.0896,0.94147001,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-cb51a81ca5725911,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4399792389,exact_doi,high,1,false,,1,0.2285,0.4880277,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-9b80242a092b6786,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4392129960,exact_doi,high,1,false,,11,3.9237,0.93327556,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-db6b77807348895b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4392649176,exact_doi,high,1,false,,7,2.2054,0.87772965,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-510d7a02c2671528,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4385798148,exact_doi,high,1,false,,3,0.6692,0.74275557,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-5db7e6f37f129e8c,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4288096408,exact_doi,high,1,false,,13,1.3103,0.80078829,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-58c46a42960374e9,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4231109299,exact_doi,high,1,false,,3,,,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-238d45fda4443649,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2605924799,exact_doi,high,1,false,,12,0.655,0.609918,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-85f2df464cf33b2b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2614431170,exact_doi,high,1,false,,32,1.8374,0.86486486,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-995e2c4baf78e75f,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2792219185,exact_doi,high,1,false,,10,0.5675,0.62443079,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-98e96799a772b2d8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2801305290,exact_doi,high,1,false,,71,4.9974,0.95560432,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-a144b5a0d12678b8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2951375906,exact_doi,high,1,false,,54,2.5192,0.89839034,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-55ec7e2412d2403b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3122320052,exact_doi,high,1,false,,0,0,0.51456097,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-90da65e0a30185b3,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2953832426,exact_doi,high,1,false,,13,0.6479,0.65679586,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-ca18d300c708df28,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3154392375,exact_doi,high,1,false,,57,3.7668,0.94679054,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-49294c75a005a78b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2800351030,exact_doi,high,1,false,,463,17.8535,0.99721405,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-68c3c8e06450a746,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2906869211,exact_doi,high,1,false,,56,4.0297,0.94809287,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-8d2b36e0b52ed3d6,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2941851893,exact_doi,high,1,false,,131,13.2523,0.99127663,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-b144d493a3ba57e3,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2990328918,exact_doi,high,1,false,,44,1.9659,0.86707424,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-106c4b03dc6d63d1,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1996219182,exact_doi,high,1,false,,25,1.5887,0.81231409,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-3262a9fd5667312a,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3014521844,exact_doi,high,1,false,,17,0.9015,0.7039545,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-0f285212e2e8d939,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2951263801,exact_doi,high,1,false,,131,8.2512,0.98501114,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-101f9231ce9246b6,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2791139123,exact_doi,high,1,false,,37,3.2496,0.9186978,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-1f80e60288cf6533,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2777567699,exact_doi,high,1,false,,74,1.7024,0.82671013,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-991c3ed40ea1e516,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2581205426,exact_doi,high,1,false,,131,12.9495,0.9916238,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-68104ea3c883c968,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2590354750,exact_doi,high,1,false,,14,0.6948,0.73433333,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-3991f7fe7fb8666f,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2213495799,exact_doi,high,1,false,,80,4.0411,0.94539411,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-f826ad250a06f94d,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2472231909,exact_doi,high,1,false,,211,4.3876,0.95436508,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-37c71f3f8b7888cb,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2528041826,exact_doi,high,1,false,,80,6.0584,0.96165655,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-d141607979dae698,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1915223221,exact_doi,high,1,false,,35,2.672,0.89396825,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-af84084609f02652,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2028124979,exact_doi,high,1,false,,32,1.4051,0.7942004,2026-08-29T03:05:51.808Z
unimelb-finance-032,Professor Federico Nardari,unimelb-pub-5a744288f482c4e2,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-036,Dr Hoonsuk Park,unimelb-pub-3bd5f31d055feaa1,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4412750384,exact_doi,high,1,false,,4,5.9432,0.95807692,2026-08-29T03:05:51.808Z
unimelb-finance-038,Associate Professor Sean Pinder,unimelb-pub-5c8af5a048dd847b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4410951337,exact_doi,high,1,false,,0,0,0.1499146,2026-08-29T03:05:51.808Z
unimelb-finance-038,Associate Professor Sean Pinder,unimelb-pub-02166ae1fd537022,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2755324843,exact_doi,high,1,false,,0,0,0.16700107,2026-08-29T03:05:51.808Z
unimelb-finance-038,Associate Professor Sean Pinder,unimelb-pub-87533095cb511500,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3162651889,exact_doi,high,1,false,,4,0.9413,0.83747472,2026-08-29T03:05:51.808Z
