review_type,university,field_of_research,researcher_id,researcher_name,publication_id,title,review_reason,source_url
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-fab7b0da565acc82,Evaluation one step removed: The government/not-for-profit performance nexus,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/evaluation-one-step-removed-the-governmentnot-for-profit-performa/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-7361b2b87b36bb26,Economic Thought: A Brief History,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/economic-thought-a-brief-history/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-d9769f5c5f82a6db,Market Capacity Framework: An approach for identifying thin markets in the NDIS,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/market-capacity-framework-an-approach-for-identifying-thin-market/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-ab4551afcbf3b507,Research Horizons for Public and Private Not-for-profit Reporting: Moving the Bar in the Right Direction,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/research-horizons-for-public-and-private-not-for-profit-reporting/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-6a99b05031aa8484,The Role of Management Control Systems in Managing Competing Institutional Logics: A Case Study of a Not-for-profit Organisation,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/the-role-of-management-control-systems-in-managing-competing-inst/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-96fcc1e2e9de196b,Public Sector Audit History in Britain and Australia,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/public-sector-audit-history-in-britain-and-australia/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-03b9c4f2a556896b,Utopia: Joined Up Government in Australia and New Zealand,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/utopia-joined-up-government-in-australia-and-new-zealand/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-ece454d8ffc81ff7,"Westminster System, Parliamentary Sovereignty and Responsible Government: Executive Accountability in New Zealand and Australia",Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/westminster-system-parliamentary-sovereignty-and-responsible-gove/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-74b4cb387c0d2348,Capitalism: A Short History,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/capitalism-a-short-history/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-55572c0019f477c3,"Imperial Theory and Colonial Pragmatism: Charles Harper, Economic Development and Agricultural Co-operation in Australia",Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/imperial-theory-and-colonial-pragmatism-charles-harper-economic-d/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-987b1c3a026eb2aa,Public Sector Collaboration: Are We Doing It Well and Could We Do It Better?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/public-sector-collaboration-are-we-doing-it-well-and-could-we-do-/
