"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resource-package-video-5-costi","Human Services Costing & Pricing Resource Package: Video 5 - Costing & Government Procurement","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-5-costi/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resources-package-service-prov","Human Services Costing & Pricing Resources Package: Service Provider Model","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resources-package-service-prov/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-devolution-and-procurement-practice-the-australian","Human Services: Devolution and Procurement Practice - The Australian Experience","2025","https://research-repository.uwa.edu.au/en/publications/human-services-devolution-and-procurement-practice-the-australian/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","ng-butlins-1959-monograph-colonial-socialism-in-australia-and-the","N.G. Butlin's 1959 Monograph ""Colonial Socialism in Australia"" and the Discourse in Economic History","2025","https://research-repository.uwa.edu.au/en/publications/ng-butlins-1959-monograph-colonial-socialism-in-australia-and-the/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","open-university-uk-human-services-devolution-and-procurement-the-","Open University, UK: Human Services Devolution and Procurement - The Australian Experience","2025","https://research-repository.uwa.edu.au/en/publications/open-university-uk-human-services-devolution-and-procurement-the-/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-cost-real-impact-case-study-series-northern-territory","Real Cost, Real Impact Case Study Series: Northern Territory","2025","https://research-repository.uwa.edu.au/en/publications/real-cost-real-impact-case-study-series-northern-territory/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impact-case-study-series-australia-capital-territ","Real Costs, Real Impact Case Study Series: Australia Capital Territory","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impact-case-study-series-australia-capital-territ/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impact-case-study-series-geraldton-western-austra","Real Costs, Real Impact Case Study Series: Geraldton, Western Australia","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impact-case-study-series-geraldton-western-austra/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-case-study-series-brisbane-queensland","Real Costs, Real Impacts Case Study Series: Brisbane, Queensland","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-brisbane-queensland/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-case-study-series-victoria","Real Costs, Real Impacts Case Study Series: Victoria","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-victoria/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-case-study-series-wilcannia-forbes-new-so","Real Costs, Real Impacts Case Study Series: Wilcannia-Forbes, New South Wales","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-wilcannia-forbes-new-so/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-case-study-series-wollongong-new-south-wa","Real Costs, Real Impacts Case Study Series: Wollongong, New South Wales","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-case-study-series-wollongong-new-south-wa/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-policy-summit-booklet","Real Costs, Real Impacts Policy Summit Booklet","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-policy-summit-booklet/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-research-summary","Real Costs, Real Impacts Research Summary","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-research-summary/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","real-costs-real-impacts-a-path-to-social-services-sustainability","Real Costs, Real Impacts: a Path to Social Services Sustainability","2025","https://research-repository.uwa.edu.au/en/publications/real-costs-real-impacts-a-path-to-social-services-sustainability/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","school-of-education-sheffield-university-the-creation-of-public-v","School of Education, Sheffield University: The Creation of Public Value in Human Services","2025","https://research-repository.uwa.edu.au/en/publications/school-of-education-sheffield-university-the-creation-of-public-v/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","summary-report-the-lifetime-price-of-harm-economic-costs-of-sexua","Summary Report: The Lifetime Price of Harm - Economic Costs of Sexual Violence and the Case for Timely Intervention in Australia","2025","https://research-repository.uwa.edu.au/en/publications/summary-report-the-lifetime-price-of-harm-economic-costs-of-sexua/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-010","Lyndie Bayne","Senior Lecturer","C","sustainable-development-goal-87-eradicating-modern-slavery-in-aus","Sustainable Development Goal 8.7: Eradicating Modern Slavery in Australia","2025","https://research-repository.uwa.edu.au/en/publications/sustainable-development-goal-87-eradicating-modern-slavery-in-aus/","","","","","","","Lyndie Bayne","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-019","Vincent Chong","Professor","E","the-clock-ticks-temporal-effects-in-brand-donations","The Clock Ticks: Temporal Effects in Brand Donations","2025","https://research-repository.uwa.edu.au/en/publications/the-clock-ticks-temporal-effects-in-brand-donations/","","","","","","","Vincent Chong","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-012","Nikki Schonfeldt","Senior Lecturer","C","the-effectiveness-of-chatgpt-to-support-threshold-concepts-knowle","The effectiveness of ChatGPT to support threshold concepts knowledge in financial accounting an exploratory study","2025","https://research-repository.uwa.edu.au/en/publications/the-effectiveness-of-chatgpt-to-support-threshold-concepts-knowle/","","","","","","","Nikki Schonfeldt","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-008","Glen Hutchings","Senior Lecturer","C","the-impact-of-an-esg-nudge-on-retail-investor-engagement-in-susta","The impact of an ESG nudge on retail investor engagement in sustainable finance: evidence from an investment decision experiment","2025","https://research-repository.uwa.edu.au/en/publications/the-impact-of-an-esg-nudge-on-retail-investor-engagement-in-susta/","10.1108/SAMPJ-10-2024-1104","Sustainability Accounting, Management and Policy Journal","2040-8021","","A","3501","Glen Hutchings","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-004","David Gilchrist","Professor","E","the-irish-welfare-state-its-historical-and-contemporary-developme","The Irish Welfare State: Its Historical and Contemporary Development","2025","https://research-repository.uwa.edu.au/en/publications/the-irish-welfare-state-its-historical-and-contemporary-developme/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","the-lifetime-price-of-harm-economic-costs-of-sexual-violence-and--2","The Lifetime Price of Harm - Economic Costs of Sexual Violence and the Case for Early Intervention in Australia","2025","https://research-repository.uwa.edu.au/en/publications/the-lifetime-price-of-harm-economic-costs-of-sexual-violence-and--2/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","universite-lumiere-lyon-2-project-citizens-first-the-development-","Universite Lumiere Lyon 2 - Project: Citizens First - The Development and Status of the French Welfare State","2025","https://research-repository.uwa.edu.au/en/publications/universite-lumiere-lyon-2-project-citizens-first-the-development-/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","university-of-leicester-building-public-value-via-the-third-secto","University of Leicester: Building Public Value Via The Third Sector - Direct and Indirect Value Adding","2025","https://research-repository.uwa.edu.au/en/publications/university-of-leicester-building-public-value-via-the-third-secto/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-006","Fangbin Lin","Lecturer","B","price-erosion-and-sales-volume-analysis-of-china-smart-phone-mark","Price Erosion and Sales Volume Analysis of China Smart-Phone Market","2016","https://research-repository.uwa.edu.au/en/publications/price-erosion-and-sales-volume-analysis-of-china-smart-phone-mark/","","","","","","","Fangbin Lin","Pure profile URL","high","unmatched","unmatched"
