name,job_title,academic_level,field_of_research,profile_url,university,orcid,title,doi,author_count,year,article_url,source,citation_percentile,journal_name,issn,quality_rank,impact_factor
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Auditor Style and Financial Statement Comparability,10.2308/accr-50642,3,2014,https://doi.org/10.2308/accr-50642,minerva,,Accounting Review,0001-4826,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Are active fund managers collectors of private information or fast interpreters of public information?,10.1111/j.1467-629x.2010.00341.x,3,2010,https://doi.org/10.1111/j.1467-629x.2010.00341.x,minerva,,Accounting and Finance,0810-5391,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Speculation and e-commerce: The long and the short of IT,10.1016/j.accinf.2009.12.001,4,2010,https://doi.org/10.1016/j.accinf.2009.12.001,minerva,,International Journal of Accounting Information Systems,1467-0895,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Profits versus Losses: Does Reporting an Accounting Loss Act as a Heuristic Trigger to Exercise the Abandonment Option and Divest Employees?,10.2308/accr.2007.82.4.1031,2,2007,https://doi.org/10.2308/accr.2007.82.4.1031,minerva,,Accounting Review,0001-4826,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Seasonality in fund performance: An examination of the portfolio holdings and trades of investment managers,10.1111/j.1468-5957.2006.00018.x,2,2006,https://doi.org/10.1111/j.1468-5957.2006.00018.x,minerva,,Journal of Business Finance & Accounting,0306-686X,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Top Management Turnover: An Examination of Portfolio Holdings and Fund Performance,10.1177/031289620603100205,3,2006,https://doi.org/10.1177/031289620603100205,minerva,,Australian Journal of Management,0312-8962,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,An Examination of the Performance of the Trades and Stock Holdings of Fund Managers: Further Evidence,10.2307/4126744,1,2003,https://doi.org/10.2307/4126744,minerva,,Journal of Financial and Quantitative Analysis,0022-1090,,
Michael Davern,Professor of Accounting & Business Information Systems,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14375,UNIMELB,0000-0002-9572-812X,Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry,10.1007/s12599-025-00929-3,4,2026,https://doi.org/10.1007/s12599-025-00929-3,minerva,,Business and Information Systems Engineering,2363-7005,,
Michael Davern,Professor of Accounting & Business Information Systems,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14375,UNIMELB,0000-0002-9572-812X,Celebrations and Reflections in Pursuit of Impact,10.3127/ajis.v29.6415,2,2025,https://doi.org/10.3127/ajis.v29.6415,minerva,,Australasian Journal of Information Systems,1449-8618,,
Michael Davern,Professor of Accounting & Business Information Systems,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14375,UNIMELB,0000-0002-9572-812X,The Horizons of Financial Reporting - Part 2: Investor Perspectives and Measurement Uncertainty,,5,2024,https://www.cpaaustralia.com.au/-/media/Project/CPA/Corporate/documents/tools-and-resources/financial-reporting/reporting-research-initiatives/the-horizons-of-financial-reporting_part-2_v1.pdf?rev=abef078351874df78943d784e089b002,minerva,,The Horizons of Financial Reporting – Part 2: Investor perspectives and measurement uncertainty,,,
Michael Davern,Professor of Accounting & Business Information Systems,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14375,UNIMELB,0000-0002-9572-812X,Auditors’ Perspectives: The Impacts of IFRS Practice Statement 2 Making Materiality Judgements,,3,2023,https://www.aasb.gov.au/media/eebikppl/rr21_auditorsperspectivesps2_10-23.pdf,minerva,,,,,
