researcher_id,researcher_name,orcid,openalex_author_id,openalex_author_ids,openalex_display_name,openalex_works_count,openalex_cited_by_count,openalex_institutions,match_method,match_confidence,name_agreement,university_affiliation_observed,candidate_count,requires_review,review_reason,retrieved_at
unimelb-accounting-038,Associate Professor Bo Qin,0000-0001-5817-1169,A5063126679,A5063126679,Bo Qin,65,1085,The University of Melbourne; Victoria University; Renmin University of China; University of Electronic Science and Technology of China; University of Groningen; Beibu Gulf University; Shenyang University of Chemical Technology; University of Amsterdam; Amsterdam UMC Location Vrije Universiteit Amsterdam,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-039,Ms Michelle Sabe,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-040,Associate Professor Stefan Schantl,0000-0002-3777-6756,A5044819531,A5044819531,Stefan Schantl,20,160,The University of Melbourne; Victoria University; Joanneum Research,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-041,Ms Maggie Singorahardjo,0000-0003-4778-3746,A5050169327,A5050169327,Maggie Singorahardjo,2,144,The University of Melbourne,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-042,Professor Naomi Soderstrom,0000-0001-7602-9182,A5034786987,A5034786987,Naomi S. Soderstrom,94,4239,The University of Melbourne; Victoria University; Northwestern University; University of Colorado Boulder; University of Washington; University of Colorado System; College of Accounting; Seattle University; University of Colorado Denver,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-043,Professor Nasser Spear,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-044,Dr Maiying Sui,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-045,Dr Michael Taouk,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-046,Mr Eu-Jin Teo,0000-0002-7196-5462,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:16.957Z
unimelb-accounting-047,Ms Di (Demi) Wang,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-048,Dr Martin Weisner,0000-0003-1702-6277,A5008643332,A5008643332,Martin Weisner,24,216,"The University of Melbourne; University of Central Florida; University of Nevada, Las Vegas; Australian Regenerative Medicine Institute; Monash Health; Dandenong Hospital; Monash University; Victoria University",exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-049,Ms Sarah Yang Spencer,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-050,Dr Qingbo Yuan,0000-0003-4660-4283,A5058942007,A5058942007,Qingbo Yuan,23,2069,Victoria University; Qingdao University; University of Electronic Science and Technology of China; The University of Melbourne; Hangzhou Dianzi University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
