researcher_id,researcher_name,openalex_author_id,openalex_work_id,title,publication_year,publication_date,doi,article_url,journal_name,issn,eissn,all_issns,authors,author_count,publication_type,cited_by_count,fwci,citation_percentile,is_retracted,is_open_access,open_access_status,open_access_url,topics,updated_date,source_updated_date,record_origin,identity_match_method,identity_match_confidence,repository_verified,requires_review,review_reason,openalex_retrieved_at
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4404366485,Internal and External Social Capital of Big 4 Audit Offices,2024,2024-11-14,10.2308/ajpt-2022-188,https://doi.org/10.2308/ajpt-2022-188,Auditing A Journal of Practice & Theory,0278-0380,1558-7991,0278-0380; 1558-7991,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],5,article,1,0.7155,0.85286839,false,true,green,https://research.tilburguniversity.edu/en/publications/730c09b0-2a4f-420a-a302-52aa4f324f9b,Housing Market and Economics,2026-08-27T14:10:00.468798,2026-08-27T14:10:00.468798,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W2586722930,"Executive compensation practices in the UK: A guide to governance, taxation and accounting",2011,2011-01-01,,https://research.rug.nl/en/publications/33bc3b3d-0f90-4e28-9353-b256d293bff3,University of Groningen research database (University of Groningen / Centre for Information Technology),,,,[object Object]; [object Object]; [object Object],3,book-chapter,3,2.511,0.95014837,false,false,closed,,Corporate Finance and Governance,2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W2536854772,The influence of managerial power on the choice of performance targets in incentive contracts,2012,2012-01-01,,https://research.rug.nl/en/publications/486a843c-ccf0-4c8d-bc13-4f89319c3440,University of Groningen research database (University of Groningen / Centre for Information Technology),,,,[object Object]; [object Object],2,article,1,0.4669,0.76172224,false,false,closed,,Outsourcing and Supply Chain Management; Public Procurement and Policy,2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W3123935579,CEO overconfidence and cost stickiness,2015,2015-01-01,,http://repository.nyenrode.nl/record/frisid:12753,Data Archiving and Networked Services (DANS),,,,[object Object]; [object Object]; [object Object],3,article,1,0.8805,0.86459282,false,true,green,https://dare.uva.nl/personal/pure/en/publications/ceo-overconfidence-and-cost-stickiness(83612c0a-072b-4acb-af3e-3999def8bd1c).html,"Auditing, Earnings Management, Governance; Corporate Finance and Governance; Securities Regulation and Market Practices",2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W3137942237,Cybersecurity Challenges from the Perspective of Emergence,2020,2020-04-01,10.7544/issn1000-1239.2020.20190379,https://doi.org/10.7544/issn1000-1239.2020.20190379,Journal of Computer Research and Development,1000-1239,,1000-1239,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],5,article,1,0.2797,0.72250344,false,false,closed,,Information and Cyber Security,2026-07-23T05:56:39.545243,2026-07-23T05:56:39.545243,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W2257330658,The Influence of Audit Committee Financial Expertise on Earnings Quality: U.S. Evidence,2007,2007-01-01,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=799645,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object],1,preprint,24,,,false,true,green,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=799645,"Auditing, Earnings Management, Governance; Risk Management in Financial Firms; Corporate Finance and Governance",2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W3123206305,CEO Origin and Accrual-Based Earnings Management,2014,2014-01-01,,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2513192,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object]; [object Object],3,preprint,5,,,false,true,green,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2513192,"Auditing, Earnings Management, Governance; Corporate Finance and Governance; Financial Reporting and Valuation Research",2026-07-14T23:32:53.992493,2026-07-14T23:32:53.992493,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W1542308785,Performance-vested Stock Options and Pay-Performance Sensitivity,2006,2006-01-01,,https://repository.tilburguniversity.edu/bitstreams/c6ae7dc2-9be0-48c9-a529-84f6d3ec45e5/download,RePEc: Research Papers in Economics,,,,[object Object]; [object Object],2,preprint,4,,,false,false,closed,,Corporate Finance and Governance; Financial Markets and Investment Strategies; Financial Reporting and Valuation Research,2026-08-25T07:29:55.448023,2026-08-25T07:29:55.448023,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W2108961013,Credit Ratings and CEO Risk-Taking Incentives,2009,2009-01-01,10.2139/ssrn.1445339,https://doi.org/10.2139/ssrn.1445339,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object],2,preprint,4,,,false,true,green,https://doi.org/10.2139/ssrn.1445339,Corporate Finance and Governance; Credit Risk and Financial Regulations; Financial Reporting and Valuation Research,2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W3121968927,The Influence of CEO Power on Compensation Contract Design,2015,2015-01-01,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2513185,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object]; [object Object],3,preprint,4,,,false,true,green,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2513185,"Corporate Finance and Governance; Financial Reporting and Valuation Research; Auditing, Earnings Management, Governance",2026-08-13T07:04:57.449891,2026-08-13T07:04:57.449891,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
