"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"unimelb-accounting-020","Ms Jane Hronsky","Lecturer","B","de0459d4-69bc-4eb7-9ff5-b617b98319d0","Who pays attention to sustainability reports and why? Evidence from Google search activity","2023","https://doi.org/10.1111/acfi.13045","10.1111/acfi.13045","Accounting and Finance","0810-5391","0810-5391","A","3501","Hronsky, Jane","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-017","Dr Patrick Ferguson","Senior Lecturer","C","de0459d4-69bc-4eb7-9ff5-b617b98319d0","Who pays attention to sustainability reports and why? Evidence from Google search activity","2023","https://doi.org/10.1111/acfi.13045","10.1111/acfi.13045","Accounting and Finance","0810-5391","0810-5391","A","3501","Ferguson, Patrick","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-017","Dr Patrick Ferguson","Senior Lecturer","C","fcd169bf-e311-43fe-9d37-9d9a7878ac67","Superstar Productivity and Pay: Evidence from the Australian Football League","2022","https://doi.org/10.1111/1475-4932.12665","10.1111/1475-4932.12665","Economic Record","0013-0249","1475-4932","A","3801","Ferguson, Patrick","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","fcd169bf-e311-43fe-9d37-9d9a7878ac67","Superstar Productivity and Pay: Evidence from the Australian Football League","2022","https://doi.org/10.1111/1475-4932.12665","10.1111/1475-4932.12665","Economic Record","0013-0249","1475-4932","A","3801","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","50833a0a-b990-488e-a171-724df7d641c3","Frequency and nature of the reporting of going concern by auditors in the financial statements of Australian listed companies","2022","https://hdl.handle.net/11343/345013","","Frequency and nature of the reporting of going concern by auditors in the financial statements of Australian listed companies","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","d7f416cb-6d50-47ab-be87-b49e09b2e2c5","Annual benchmark and analysis research report on the reported financial performance and position of Australian Listed Companies","2023","https://hdl.handle.net/11343/345012","","Annual benchmark and analysis research report on the reported financial performance and position of Australian Listed Companies.","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","8771bf02-cf44-4a01-ae13-ef99bb667c3d","Australian Listed Entities: Recognised intangible assets and key audit matters","2023","https://auasb.gov.au/media/nq5fw04n/aasb-auasb_rr_intangiblesbyasxentities_05-23.pdf","","AASB-AUASB Staff Research Report Australian Listed Entities: Recognised intangible assets and key audit matters","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","ad7006a9-3918-454d-92af-37ca248732fc","Insights into Key Audit Matters 31 December 2022 to 30 September 2023 reporting in Australia","2024","https://www.charteredaccountantsanz.com/-/media/2af265a1124f4e308831ff30a688af80.pdf","","","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","48a7839f-bf96-4e9c-a017-354ec87fe328","Submission to the Australian Competition and Consumer Commission (ACCC) Supermarkets Inquiry 2024-25","2024","https://hdl.handle.net/11343/344978","","Submission to the Australian Competition and Consumer Commission (ACCC) Supermarkets Inquiry 2024-25","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-050","Dr Qingbo Yuan","Senior Lecturer","C","d2649c98-b1e6-4168-acdc-6f953c35e53b","Does stock market liberalization improve stock price efficiency? Evidence from China","2022","https://doi.org/10.1111/jbfa.12586","10.1111/jbfa.12586","Journal of Business Finance & Accounting","0306-686X","0306-686X","A*","3501","Yuan, Qingbo","normalized full name","medium - requires validation","ISSN/eISSN","matched"
