researcher_name,researcher_profile_url,title,journal_name,year,doi,issn,article_url,abdc_self_reported,coauthors,author_count,author_count_confidence,publication_type,scimago_sjr,scimago_quartile,source,citation_percentile,raw
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,"Cross-listing as a Global Depository Receipt: The influence of emerging markets, regulation, and accounting regime",Journal of Contemporary Accounting and Economics,2014,,,,none,"Chugh, S, Fargher, N & Wright, S",3,ok,journal_article,0.801,Q2,ANU RSA/RSFAS profile page,,"Chugh, S, Fargher, N & Wright, S 2014, 'Cross-listing as a Global Depository Receipt: The influence of emerging markets, regulation, and accounting regime', Journal of Contemporary Accounting and Economics, vol. 10, no. 3, pp. 262-276."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",Pacific Accounting Review,2014,,,,none,"Fukofuka, P, Fargher, N & Wang, Z",3,ok,journal_article,0.521,Q2,ANU RSA/RSFAS profile page,,"Fukofuka, P, Fargher, N & Wang, Z 2014, 'The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment', Pacific Accounting Review, vol. 26, no. 3, pp. 374-391."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Audit Reports In Australia 2005 to 2013: Preliminary Findings,CPA Australia,2014,,,,none,"Carson, E, Zhang, Y & Fargher, N",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Carson, E, Zhang, Y & Fargher, N 2014, Audit Reports In Australia 2005 to 2013: Preliminary Findings. CPA Australia."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Audit reporting for going-concern uncertainty: A research synthesis,Auditing: A Journal of Practice and Theory,2013,,,,none,"Carson, E, Fargher, N, Geiger, M et al",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Carson, E, Fargher, N, Geiger, M et al 2013, 'Audit reporting for going-concern uncertainty: A research synthesis', Auditing: A Journal of Practice and Theory, vol. 32, no. SUPPL.1, pp. 353-384."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Companies Use of Whistle-Blowing to Detect Fraud: An Examination of Corporate Whistle-blowing Policies,Journal of Business Ethics,2012,,,,none,"Lee, Y & Fargher, N",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Lee, Y & Fargher, N 2012, 'Companies Use of Whistle-Blowing to Detect Fraud: An Examination of Corporate Whistle-blowing Policies', Journal of Business Ethics, vol. online."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,A simple empirical model of equity-implied probabilities of default,Journal of Fixed Income,2011,,,,none,"Altman, E, Fargher, N & Kalotay, E",3,ok,journal_article,0.611,Q2,ANU RSA/RSFAS profile page,,"Altman, E, Fargher, N & Kalotay, E 2011, 'A simple empirical model of equity-implied probabilities of default', Journal of Fixed Income, vol. 20, no. 3, pp. 71-85."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Audit Reports in Australia during the Global Financial Crisis,Australian Accounting Review,2011,,,,none,"Xu, Y, Jiang, A, Fargher, N et al",3,ok,journal_article,0.702,Q2,ANU RSA/RSFAS profile page,,"Xu, Y, Jiang, A, Fargher, N et al 2011, 'Audit Reports in Australia during the Global Financial Crisis', Australian Accounting Review, vol. 21, no. 1, pp. 22-31."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Accounting for investments and the relevance of losses to firm value,The International Journal of Accounting,2010,,,,none,"Fargher, N, Wu, H & Wright, S",3,ok,journal_article,0.436,Q3,ANU RSA/RSFAS profile page,,"Fargher, N, Wu, H & Wright, S 2010, 'Accounting for investments and the relevance of losses to firm value', The International Journal of Accounting, vol. 45, no. 1, pp. 104-127."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,"Ho, S, Choi, S., and Yang, F. (forthcoming) 'Harnessing the Power of Twitter: How are Tweets Associated with Forecast Accuracy?",Journal of the Association of Information Systems,,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Ho, S, Choi, S., and Yang, F. (forthcoming) 'Harnessing the Power of Twitter: How are Tweets Associated with Forecast Accuracy?', Journal of the Association of Information Systems."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,Nudging moods to induce unplanned purchases in imperfect mobile personalization contexts,MIS Quarterly,2018,,,,none,"Ho, S & Lim, K",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Ho, S & Lim, K 2018, 'Nudging moods to induce unplanned purchases in imperfect mobile personalization contexts', MIS Quarterly, vol. 42, no. 3, pp. 757-778."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,Continued Voluntary Participation Intention in Firm-Participating Open Source Software Projects,Information Systems Research,2017,,,,none,"Ho, S & Rai, A",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Ho, S & Rai, A 2017, 'Continued Voluntary Participation Intention in Firm-Participating Open Source Software Projects', Information Systems Research, vol. 28, no. 3, pp. 603-625."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,How Does Corporate Social Responsibility Engagement Influence Word of Mouth on Twitter? Evidence from the Airline Industry,Journal of Business Ethics,2017,,,,none,"Vo, T., Xiao, X, and Ho, S",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Vo, T., Xiao, X, and Ho, S. 2017, 'How Does Corporate Social Responsibility Engagement Influence Word of Mouth on Twitter? Evidence from the Airline Industry', Journal of Business Ethics."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,The Effects of Web Personalization on User Attitude and Behavior: An Integration of the Elaboration Likelihood Model and Consumer Search Theory,MIS Quarterly,2014,,,,none,"Ho, S & Bodoff, D",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Ho, S & Bodoff, D 2014, 'The Effects of Web Personalization on User Attitude and Behavior: An Integration of the Elaboration Likelihood Model and Consumer Search Theory', MIS Quarterly, vol. 38, no. 2, pp. 497-520."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,Examining the effects of malfunctioning personalized services on online users' distrust and behaviors,Decision Support Systems,2013,,,,none,"Chau, P, Ho, S, Ho, K et al",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Chau, P, Ho, S, Ho, K et al 2013, 'Examining the effects of malfunctioning personalized services on online users' distrust and behaviors', Decision Support Systems, vol. 56, no. 1, pp. 180-191."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,The Effects of Location Personalization on Individuals' Intention to Use Mobile Services,Decision Support Systems,2012,,,,none,"Ho, S",1,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Ho, S 2012, 'The Effects of Location Personalization on Individuals' Intention to Use Mobile Services', Decision Support Systems, vol. 53, no. 4 (Nov 2012), pp. 802-812."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,Timing of Adaptive Web Personalization and its Effects on Online Consumer Behavior,Information Systems Research,2011,,,,none,"Ho, S, Bodoff, D & Tam, K",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Ho, S, Bodoff, D & Tam, K 2011, 'Timing of Adaptive Web Personalization and its Effects on Online Consumer Behavior', Information Systems Research, vol. 22, no. 3, pp. 660-679."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,Understanding the Impact of Web Personalization on User Information Processing and Decision,MIS Quarterly,2006,,,,none,"Tam, K & Ho, S",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Tam, K & Ho, S 2006, 'Understanding the Impact of Web Personalization on User Information Processing and Decision', MIS Quarterly, vol. 30, no. 4, p. 865."
Susanna Ho,https://rsa.anu.edu.au/people/susanna-ho,Web Personalization as a Persuasion Strategy: An Elaboration Likelihood Model Perspective,Information Systems Research,2005,,,,none,"Tam, K & Ho, S",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Tam, K & Ho, S 2005, 'Web Personalization as a Persuasion Strategy: An Elaboration Likelihood Model Perspective', Information Systems Research, vol. 16, no. 3, pp. 271-291."
Tejshree Kala,https://rsa.anu.edu.au/people/tejshree-kala,Are Individual Analysts' Responses to Management Forecasts Conditioned by Managers' Forecasting Track Records?,European Accounting Review,2024,10.1080/09638180.2024.2413001,0963-8180,https://doi.org/10.1080/09638180.2024.2413001,none,"Kala, T., Shailer, G. and M. Wilson",3,ok,journal_article,2.272,Q1,ANU RSA/RSFAS profile page,,"Kala, T., Shailer, G. and M. Wilson, 2024, Are Individual Analysts' Responses to Management Forecasts Conditioned by Managers' Forecasting Track Records? , European Accounting Review , forthcoming."
Tejshree Kala,https://rsa.anu.edu.au/people/tejshree-kala,SEC Compensation-related Comment Letters and Excess CEO Compensation,European Accounting Review,2022,10.1080/09638180.2022.2046120,0963-8180,https://doi.org/10.1080/09638180.2022.2046120,none,"Wang, W., Zhang, L., Wilson, M. and T. Kala",4,ok,journal_article,2.272,Q1,ANU RSA/RSFAS profile page,,"Wang, W., Zhang, L., Wilson, M. and T. Kala, 2022, SEC Compensation-related Comment Letters and Excess CEO Compensation , European Accounting Review , 31, 5, p. 1089-1118."
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,CEO financial distress experience and CSR: A contingency perspective,Journal of Business Research,2025,10.1016/j.jbusres.2025.115546,0148-2963,https://doi.org/10.1016/j.jbusres.2025.115546,none,"Balaji, P., C. Qian, E.S. Khoo, and L.Y. Lu",4,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Balaji, P., C. Qian, E.S. Khoo, and L.Y. Lu. 2025. CEO financial distress experience and CSR: A contingency perspective. Journal of Business Research , 199 , 115546. https://doi.org/10.1016/j.jbusres.2025.115546"
