researcher_name,title,journal_name,year,article_url,publication_type
Greg Shailer,Competition in the Australian Mobile Phone Retail Market: A study of Australian MNOs & MVNOs,,2015,https://www.researchgate.net/profile/Greg_Shailer/publication/297734753_The_State_of_Competition_in_the_Australian_Mobile_Resale_Market/links/56e1f62c08ae3328e076b2c9/The-State-of-Competition-in-the-Australian-Mobile-Resale-Market.pdf,industry_report
Sonali Walpola,Justice and the Australian income tax base: taxing capital gains and trusts,Australian Tax Forum,2025,,journal_article
Sonali Walpola,Certainty in individual residence and the interpretation of tiebreaker rules in tax treaties,Blueprint for Individual Taxation Reform in a Globalized World,2025,,journal_article
Sonali Walpola,The potential of section 100A ITAA36 to address tax avoidance using trusts,Australian Tax Forum,2024,,journal_article
Sonali Walpola,Tax Aggressiveness and the Australian Capital Market: Do Analysts Understand the Complexities of Corporate Tax Avoidance?,Australian Tax Forum,2024,,journal_article
Sonali Walpola,"A Critical Examination of the Tax-motivated Use of Discretionary Trusts – Evidence, Identifying Tax Avoidance, and the Efficacy of Legislative Tools",Australian Tax Review,2022,,journal_article
Sonali Walpola,After the Australia Acts: the High Court's Attitude to Changing the Common Law (1987-2016),Oxford University Commonwealth Law Journal,1987,,journal_article
Sonali Walpola,The Taxation of Capital Gains in Trusts after Bamford: A critical evaluation of the streaming regime in Subdivision 115-C ITAA97,Australian Tax Forum,2020,,journal_article
Sonali Walpola,The Qualification to the Birthright Doctrine and Beyond: the Judicial Attitude to Adapting the Common Law to Australian Conditions,Australian Law Journal,2020,,journal_article
Sonali Walpola,The Development of the High Court's Willingness to Overrule Common Law Precedent,Federal Law Review,2017,,journal_article
Alex Wang,Effects of Organizational Internal Awards and Performance Measure Diversity on Employee Performance,Advances in Management Accounting,2025,,journal_article
Alex Wang,"The Effect of Nonfinancial Performance Measures, Absorptive Capacity, and Organizational Learning on Innovation Performance",Journal of Management Control,2023,,journal_article
Alex Wang,"Manager Narcissism, Target Difficulty, and Employee Dysfunctional Behavior",Contemporary Accounting Research,2023,,journal_article
Alex Wang,Carbon Accounting Tools and Activities: Responding to Multiple Interacting Logics in Carbon Management,"Accounting, Auditing and Accountability Journal",2023,,journal_article
Alex Wang,"Impact of Interactive and Diagnostic Uses of Performance Measurement Systems on Procedural Fairness Perception, Cooperation, and Performance in Supply Alliances",Accounting and Finance,2022,,journal_article
Alex Wang,Risk Management in Local Authorities: A Application of Schatzki's Social Site Ontology,The British Accounting Review,2019,,journal_article
Alex Wang,Strategizing in the Midst of Management Controls: A Longitudinal Case Study on The Relationship between Management Controls and Promises on Strategies,"Accounting and Finance, A Special Issue for Qualitative Accounting Research",2019,,journal_article
Alex Wang,"Strategizing in the Midst of Management Controls: A Longitudinal Case Study on The Relationship between Management Controls and Promises on Strategies, Global Management Accounting Research Symposium (GMARS), University of New South Wales, Sydney",,2017,,conference_paper
Alex Wang,"Experimenting with Risks and Management Control Systems in Inter-firm Alliances, Accounting and Finance Association of Australia and New Zealand (AFAANZ), Gold Coast",,2016,,conference_paper
Alex Wang,"· Experimenting with Risks and Management Control Systems in Inter-firm Alliances, Global Management Accounting Research Symposium (GMARS), Michigan State University",,2016,,conference_paper
Isabel Wang,Performance measurement systems design choice: The roles of political connection and social networking on firm performance - Evidence from China,Advances in Accounting Behavioral Research,2023,,journal_article
Isabel Wang,The effect of ethical commitment reminder and reciprocity in the workplace on misreporting,Journal of Business Ethics,2022,,journal_article
Isabel Wang,"The effect of non-financial performance measures, organisational politics and political skill on job performance: Evidence from China",Accounting and Finance,2022,,journal_article
Isabel Wang,"The effect of negotiators’ role, leadership tone and social value orientation on expected transfer prices: Additional evidence",Journal of Management Control,2021,,journal_article
Isabel Wang,External auditors’ reliance on management’s experts: The effects of an early stage conversation and past auditor-client relationship,International Journal of Auditing,2021,,journal_article
Isabel Wang,Delegation of decision rights and misreporting: The roles of incentive-based compensation schemes and responsibility rationalization,European Accounting Review,2019,,journal_article
Isabel Wang,The effects of tone at the top and coordination with external auditors on internal auditors’ assessments of the likelihood of financial misstatements,Accounting and Finance,2015,,journal_article
Isabel Wang,"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",Pacific Accounting Review,2014,,journal_article
Kathy Wang,Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation,Research Policy,2024,,journal_article
Kathy Wang,"The opioid crisis, employee health capital, and corporate information production",European Accounting Review,2023,,journal_article
Kathy Wang,External labor market competitions and stock price crash risk: Evidence from exposures to competitor CEOs’ award-winning events,Accounting & Finance,2022,,journal_article
Marvin Wee,Cross-country diversity and non-IFRS financial performance measures,Accounting and Finance,2023,,journal_article
Marvin Wee,Strategic trading by insiders in the presence of institutional investors,Journal of Financial Markets,2023,,journal_article
Marvin Wee,The usefulness of financial advisors to government controlled Chinese acquirers,Global Finance,2023,,journal_article
Marvin Wee,Transparency in fragmented markets: Experimental Evidence,Journal of Financial Markets,2022,,journal_article
Marvin Wee,Supply chain management disclosure: practice and perspectives,Accounting and Finance,2022,,journal_article
Marvin Wee,The effect of short selling on volatility and jumps,Australian Journal of Management,2022,,journal_article
Marvin Wee,The state of executive remuneration disclosure in Australia,Company and Securities Law Journal,2021,,journal_article
Marvin Wee,Busy directors and firm performance: a replication and extension of Hauser,Accounting and Finance,2021,,journal_article
Marvin Wee,Busy directors and firm performance: Evidence from Australia mergers,Pacific Basin Finance Journal,2020,,journal_article
Marvin Wee,Corporate governance analysts and firm value: Australian evidence,Pacific-Basin Finance Journal,2020,,journal_article
Marvin Wee,The role of implied volatility in liquidity provision,Australian Journal of Management,2020,,journal_article
Marvin Wee,Responsible science: Celebrating the 50-year legacy of Ball and Brown (1968) using a registration-based framework,Pacific-Basin Finance Journal,2019,,journal_article
Marvin Wee,The role of credibility in the relation between management forecasts and analyst forecasts in Japan,Pacific-Basin Finance Journal,2019,,journal_article
Marvin Wee,Non-financial performance indicators in annual reports: Australian practice,Accounting Research Journal,2019,,journal_article
Marvin Wee,The impact of Ball and Brown (1968) on generations of research,Pacific-Basin Finance Journal,2019,,journal_article
Marvin Wee,A review of research on regulation changes in the Asia-Pacific region,Accounting and Finance,2018,,journal_article
Marvin Wee,The role of algorithmic trading in stock liquidity and commonality in electronic limit order markets,Pacific-Basin Finance Journal,2018,,journal_article
Marvin Wee,Media sentiment and trading strategies of different types of traders,Pacific-Basin Finance Journal,2017,,journal_article
Marvin Wee,IFRS non-GAAP earnings disclosures and fair value measurement,Accounting and Finance,2016,,journal_article
Marvin Wee,The effect of voluntary versus mandatory adoption of trading policies on the returns to insider trades,Pacific-Basin Finance Journal,2016,,journal_article
Marvin Wee,Pinning down an effective measure for probability of informed trading,Pacific-Basin Finance Journal,2016,,journal_article
Marvin Wee,The evolution of informed liquidity provision and consumption: evidence from an order-driven market,European Financial Management,2016,,journal_article
Marvin Wee,Presentation format and financial literacy: Accessibility and assessability of retirement savings statements,Journal of Consumer Affairs,2015,,journal_article
Marvin Wee,How does investor relations affect analyst forecasts?,Accounting and Finance,2014,,journal_article
Marvin Wee,"Disclosure incentives, mandatory standards and firm communication in the IFRS adoption setting",Australian Journal of Management,2014,,journal_article
Marvin Wee,IFRS Adoption and analysts’ earnings forecasts: Australian evidence,Accounting and Finance,2012,,journal_article
Marvin Wee,"Order size, order imbalance and the volume-volatility relation in a bull versus bear market",Accounting and Finance,2012,,journal_article
Marvin Wee,Does disclosure quality via investor relations affect information asymmetry?,Australian Journal of Management,2008,,journal_article
Marvin Wee,The impact of the internet on earnings announcements,Pacific-Basin Finance Journal,2005,,journal_article
Marvin Wee,AASB Research Report 8: Literature review – Remuneration Reporting,,2019,https://www.aasb.gov.au/Research-Centre/Research-Reports.aspx,industry_report
Marvin Wee,Non-financial performance: Are your non-financial KPIs useful?,Research report from grant received from the Institute of Chartered Accountants of Scotland,2019,https://www.icas.com/thought-leadership/research/research-from-icas-recommends-steps-companies-can-take-to-report-non-financial-kpis-in-their-financial-reports,journal_article
Marvin Wee,"Factors Affecting Preparers' and Auditors' Judgements about Materiality and Conciseness in Integrated Reporting, 2016",,2016,http://www.accaglobal.com/uk/en/technical-activities/technical-resources-search/2016/august/factors-affecting-materiality-and-conciseness-in-integrated-reporting.html,industry_report
Marvin Wee,"Global Integrated Reporting Still Has Room for Improvement, 2017",,2017,https://probonoaustralia.com.au/news/2017/04/global-integrated-reporting-still-room-improvement/,industry_report
Steven Wu,The geography of corporate tax avoidance,The eJournal of Tax Research,2023,,journal_article
Wei Zeng,The influence of institutional differences on control mechanisms in alliances,The Accounting Review,2022,,journal_article
Lijuan Zhang,"Tax-Loss Selling, Corporate Shareholdings and the (Mis)pricing of Information Asymmetry",Contemporary Accounting Research,2025,,journal_article
Lijuan Zhang,Shocks to CEO Political Alignment and Corporate Social Responsibility: Evidence from the 2008 and 2016 Presidential Elections,International Journal of Accounting,2025,,journal_article
Lijuan Zhang,"Investor protection, aggregate changes in profit margins and forecasts of growth in GDP: international evidence","Reviewer of Accounting Studies 29: 3497-3533 (ABDC: A*, FT50)",2024,,journal_article
Lijuan Zhang,The SEC Compensation-related comment Letters and Excess CEO Compensation,European Accounting Review 31:1089-1118,2022,,journal_article
Lijuan Zhang,Manager equity based compensation and cash flow forecasts,"Accounting and Finance, forthcoming (ABDC: A)",2022,,journal_article
Lijuan Zhang,"Aggregate accounting earnings, special items and growth in Gross Domestic Product: Evidence from Australia",Accounting and Finance 62: 2467-2496. (ABDC: A),2022,,journal_article
Lijuan Zhang,In Name only: Information Spillovers among Chinese Firms with Similar Stock Names during Earnings Announcements,"Journal of Corporate Finance 69, 2021 (ABDC: A*)",2021,,journal_article
Lijuan Zhang,"Accruals Quality, Stock Return Seasonality and the Cost of Equity Capital: International Evidence","Contemporary Accounting Research 35: 1067-1101 (ABDC: A*, FT50)",2018,,journal_article
Lijuan Zhang,Does the accruals quality premium arise from information risk?,Accounting and Finance 59:599-632 (ABDC: A),2018,,journal_article
Xiu-Ye Zhang,"The Impact of Environmental, Social and Governance Disclosure on Firm Value: The Role of CEO Power",The British Accounting Review,2018,,journal_article
Xiu-Ye Zhang,The impact of board gender composition on corporate debt maturity structures,European Financial Management,2018,,journal_article
Xiu-Ye Zhang,Noncompliance with Non-Accounting Securities Regulations and GAAP Violations,Journal of Business Finance and Accounting,2019,,journal_article
Xiu-Ye Zhang,The geography of corporate tax avoidance,EJournal of Tax Research,2023,https://www.proquest.com/scholarly-journals/geography-corporate-tax-avoidance/docview/2812108145/se-2,journal_article
