journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
Advances in International Management,Emerald Group Publishing,1571-5027,,1988,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in International Marketing,Emerald Group Publishing,1474-7979,,1986,3506,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Management Accounting,Emerald Group Publishing,1474-7871,,1990,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Public Interest Accounting,Emerald Group Publishing,1041-7060,,1986,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Strategic Management,Emerald Group Publishing,0742-3322,,1983,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Taxation,Emerald Group Publishing,1058-7497,,1987,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advertising & Society Review,Johns Hopkins University Press,2475-1790,1534-7311,2000,3506,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Afaq Iqtisadiyyah,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication,1024-266X,,1980,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,0850-3907,,1976,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Development Review,Wiley-Blackwell Publishing,1017-6772,1467-8268,1989,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Economic History,University of Wisconsin Press,0145-2258,2163-9108,1974,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd.,2046-8083,2046-8091,2012,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1993-3738,2521-9871,2006,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Journal of Business and Economic Research,Adonis and Abbey Publishers Ltd,1750-4554,1750-4562,2006,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Journal of Economic and Management Studies,Emerald Group Publishing,2040-0705,2040-0713,2010,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Journal of Economic and Sustainable Development,Inderscience Enterprises Ltd.,2046-4770,2046-4789,2012,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
African Review of Economics and Finance,Wits University Press,2042-1478,2410-4906,2009,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Afrika Spectrum,Deutsches Institut für Afrika-Forschung,0002-0397,1868-6869,1966,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1751-6447,1751-6455,2008,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
AgBioForum,Illinois Missouri Biotechnology Alliance,1522-936X,,1998,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Agenda: a journal of policy analysis and reform,Australian National University,1322-1833,1447-4735,1994,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Agribusiness: An international journal,Wiley-Blackwell Publishing,0742-4477,1520-6297,1984,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Agricultural and Resource Economics Review,Cambridge University Press,1068-2805,2372-2614,1972,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
