name,job_title,academic_level,field_of_research,profile_url,university,research_portal_url,school,orcid,openalex_author_id,openalex_author_ids,openalex_works_count,author_match_type,author_candidates
Sander De Groote,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/sander-de-groote,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-2501-6733,A5053427457,A5053427457,21,name+institution,"Sander De Groote (21 works, orcid)"
Wesley Deng,Lecturer,B,Finance,https://www.unsw.edu.au/staff/wesley-deng,UNSW Sydney,,School of Banking and Finance,,A5037372436,A5037372436,5,name+institution,Wesley Deng (5 works)
Alexander Dickerson,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/alexander-dickerson,UNSW Sydney,,School of Banking and Finance,0009-0001-6974-592X,A5056196639,A5056196639,23,name+institution,"Alexander Dickerson (23 works, orcid)"
David Feldman,Professor,E,Finance,https://www.unsw.edu.au/staff/david-feldman,UNSW Sydney,,School of Banking and Finance,,,,,ambiguous,"David Feldman (496 works, orcid); David Feldman (277 works, orcid)"
Tanya Fiedler,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/tanya-fiedler,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-7002-6391,A5043944492,A5043944492,19,name+institution,"Tanya Fiedler (19 works, orcid)"
Kingsley Fong,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/kingsley-fong,UNSW Sydney,,School of Banking and Finance,0000-0003-4089-1955,A5051409339,A5051409339; A5130579588,59,name+institution,"Kingsley Y. L. Fong (59 works, orcid); Kingsley Fong (1 works)"
Mathieu Fournier,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/mathieu-fournier,UNSW Sydney,,School of Banking and Finance,0000-0003-2373-5950,A5054453061,A5054453061,39,name+institution,"Mathieu Fournier (39 works, orcid)"
Luis Filipe Goncalves-Pinto,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/luis-filipe-goncalves-pinto,UNSW Sydney,,School of Banking and Finance,,,,,not found,
Jennie Granger,Professor,E,Accounting,https://www.unsw.edu.au/staff/jennie-granger,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,not found,
Ed Harbor,Lecturer,B,Accounting,https://www.unsw.edu.au/staff/ed-harbor,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,not found,
Noel Harding,Head of School,E,Accounting,https://www.unsw.edu.au/staff/noel-harding,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-4647-4335,A5030594245,A5030594245,48,name+institution,"Noël Harding (48 works, orcid)"
Hien Hoang,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/hien-hoang,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-4939-180X,A5078929546,A5078929546,17,name+institution,"Hien Hoang (17 works, orcid)"
Sarowar Hossain,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/sarowar-hossain,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,ambiguous,"Sarowar Hossain (23 works, orcid); Sarowar Hossain (9 works, orcid)"
Mark Humphery-Jenner,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/mark-humphery-jenner,UNSW Sydney,,School of Banking and Finance,0000-0002-0541-1541,A5075986349,A5075986349; A5114732215; A5123660836; A5134033284; A5119206521,149,name+institution,"Mark Humphery‐Jenner (149 works, orcid); Mark Humphery-Jenner (6 works); Mark Humphery-Jenner (1 works); Mark Humphery-Jenner (2 works); Mark Humphery-Jenner (1 works)"
Kerry Humphreys,Professor,E,Accounting,https://www.unsw.edu.au/staff/kerry-humphreys,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-4861-8312,A5087031265,A5087031265,16,name+institution,"Kerry A. Humphreys (16 works, orcid)"
Andrew Jackson,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/andrew-jackson,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-2074-2787,A5028361129,A5028361129,104,name+institution,"Andrew B. Jackson (104 works, orcid)"
Yeejin Jang,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/yeejin-jang,UNSW Sydney,,School of Banking and Finance,0000-0003-1143-7534,A5069096026,A5069096026,55,name+institution,"Yeejin Jang (55 works, orcid)"
Alexandre Jeanneret,Deputy Head of School - Research,E,Finance,https://www.unsw.edu.au/staff/alexandre-jeanneret,UNSW Sydney,,School of Banking and Finance,0000-0003-4628-1955,A5010066779,A5010066779,39,name+institution,"Alexandre Jeanneret (39 works, orcid)"
Helen Kang,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/helen-kang,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-6258-1264,A5053319039,A5053319039,37,name+institution,"Helen Kang (37 works, orcid)"
Ann Kayis-Kumar,Professor,E,Accounting,https://www.unsw.edu.au/staff/ann-kayis-kumar,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5024490826,A5024490826,23,name+institution,Ann Kayis-Kumar (23 works)
Amy Kwan,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,,School of Banking and Finance,0000-0002-7480-1279,A5013101383,A5013101383; A5019083577,84,name+institution,"Amy Kwan (84 works, orcid); Amy Dict-Weng Kwan (3 works)"
Evelyn Lai,Lecturer,B,Finance,https://www.unsw.edu.au/staff/evelyn-lai,UNSW Sydney,,School of Banking and Finance,0009-0005-0399-341X,A5052018215,A5052018215,13,name+institution,"E.M.-K. Lai (13 works, orcid)"
Suk Lee,Lecturer,B,Finance,https://www.unsw.edu.au/staff/suk-lee,UNSW Sydney,,School of Banking and Finance,0000-0002-3720-3448,A5023783774,A5023783774,354,name+institution,"Suk Lee (354 works, orcid)"
Rachael Lewis,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/rachael-lewis,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-4958-0811,A5071313425,A5071313425,17,name+institution,"Rachael Lewis (17 works, orcid)"
Leonard Leye Li,Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/leonard-leye-li,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,ambiguous,"Louise Yi Lu (66 works, orcid); Leye Li (34 works, orcid); Leonard  Leye Li (1 works)"
Youngdeok Lim,Associate Professor,D,Accounting,https://www.unsw.edu.au/staff/youngdeok-lim,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-3715-2927,A5049423243,A5049423243,36,name+institution,"Youngdeok Lim (36 works, orcid)"
Yiping Lin,Lecturer,B,Finance,https://www.unsw.edu.au/staff/yiping-lin,UNSW Sydney,,School of Banking and Finance,0000-0002-9130-0927,A5102782620,A5102782620; A5102387095,5,name+institution,"Yiping Lin (18 works); Y Lin (5 works, orcid)"
Benjamin Loos,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/benjamin-loos,UNSW Sydney,,School of Banking and Finance,0000-0002-4687-6708,A5066420907,A5066420907; A5107927632,24,name+institution,"Benjamin Loos (24 works, orcid); Benjamin Loos (6 works)"
Jing Lu,Lecturer,B,Finance,https://www.unsw.edu.au/staff/jing-lu,UNSW Sydney,,School of Banking and Finance,,,,,not found,
Gordon Mackenzie,Adjunct Senior Lecturer,C,Accounting,https://www.unsw.edu.au/staff/gordon-mackenzie,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5069311581,A5069311581,18,name+institution,Gordon Mackenzie (18 works)
Faiza Majid,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/faiza-majid,UNSW Sydney,,School of Banking and Finance,,,,,not found,
